Protein.Group	Protein.Ids	Protein.Names	Genes	First.Protein.Description	H:\24-104\24-104_DIA_7.d	H:\24-104\24-104_DIA_8.d	H:\24-104\24-104_DIA_9.d	H:\24-104\24-104_DIA_10.d	H:\24-104\24-104_DIA_11.d	H:\24-104\24-104_DIA_12.d
orf19.2266	orf19.2266	orf19.2266	orf19.2266		13003.6	13439.4	13223.3	17968.2	15695.3	16152.8
orf19.2267	orf19.2267	RFA2	RFA2		165985	182006	156541	255438	207861	218847
orf19.2268	orf19.2268	RCK2	RCK2		34971.6	33444.3	36856.3	48291.6	49417.4	54782.7
orf19.2269	orf19.2269	orf19.2269	orf19.2269		462780	445998	507693	490743	395020	429100
orf19.2270	orf19.2270	SMF12	SMF12		1428.92	1955.32	1951.73			
orf19.2272	orf19.2272	AFT2	AFT2		2124.5	2185.54	1498.93		480.733	2553.03
orf19.2275	orf19.2275	orf19.2275	orf19.2275		242614	237324	205841	162401	154140	135911
orf19.2276	orf19.2276	orf19.2276	orf19.2276		17211.1	10913.4	12724.2	14638.1	22669.7	14185.2
orf19.2277	orf19.2277	TPK2	TPK2		44323.3	36011.1	32880.5	27908.8	30808.3	46647.5
orf19.2278	orf19.2278	orf19.2278	orf19.2278		289110	327608	278650	510214	416882	491138
orf19.2281	orf19.2281	orf19.2281	orf19.2281		2279.96	3657.08	2205.82	1976.41	1346.91	2174.64
orf19.2283	orf19.2283	DQD1	DQD1		203662	258703	257935	138627	115187	106656
orf19.2284	orf19.2284	orf19.2284	orf19.2284		17330.1	23971	27202.7	29815	31162.1	62924.3
orf19.2285	orf19.2285	orf19.2285	orf19.2285		1718.36	2159.33	1071.61	1823.5	3483.15	3455.16
orf19.2286	orf19.2286	orf19.2286	orf19.2286		585238	606022	473562	341808	310042	283991
orf19.2287	orf19.2287	RPA12	RPA12		5985.56	4500.01	5428.82	6390.43	6830.46	5036.36
orf19.2288	orf19.2288	CCT5	CCT5		202604	184841	205664	205057	200646	218263
orf19.2289	orf19.2289	ARP3	ARP3		76207.4	67800.4	69975.7	90723.3	83836.1	90807.3
orf19.229	orf19.229	orf19.229	orf19.229		2619.22	2337.07	2585.66	427.85		1213.02
orf19.2290	orf19.2290	TOR1	TOR1		20761.6	17391.7	22303.3	20263.8	27265.2	28482.3
orf19.2296	orf19.2296	orf19.2296	orf19.2296		104106	98450.6	103124	217118	224487	208807
orf19.2297	orf19.2297	ARL3	ARL3		13409.7	14668.9	15073.8	20600.4	26919	17481.4
orf19.2298	orf19.2298	WBP1	WBP1		69598.6	57872.9	68165.7	76297.8	77819.2	82211.9
orf19.2299	orf19.2299	orf19.2299	orf19.2299		83215.2	100724	101945	68745.2	58285	58460.7
orf19.23	orf19.23	RTA3	RTA3		4519.26	981.215	3935.82	1256.02	2828.02	
orf19.230	orf19.230	orf19.230	orf19.230		6141.15	5585.53	7095.85	4863.05	5486.04	5662.67
orf19.2301	orf19.2301	orf19.2301	orf19.2301		65923.8	90861.2	62597.7	214958	163079	239674
orf19.2302	orf19.2302	orf19.2302	orf19.2302		1054.21		1123.3			
orf19.2303	orf19.2303	FGR16	FGR16		17173.1	19782.6	19467.6	34206.8	25108	35103.2
orf19.2304	orf19.2304	orf19.2304	orf19.2304		263213	262761	262607	508555	469910	479278
orf19.2305	orf19.2305	orf19.2305	orf19.2305		125486	67038.9	73431.3	85889.7	89845.9	112705
orf19.2306	orf19.2306	orf19.2306	orf19.2306		52604.7	47754.6	60855.4	149606	107308	106125
orf19.2307	orf19.2307	orf19.2307	orf19.2307		6229.08	6681.32	7003.02	7092.1	6565.82	9637.69
orf19.2308	orf19.2308	orf19.2308	orf19.2308		6478.68	6688.9	8067.15	35408.8	36321.6	44953.9
orf19.2309	orf19.2309	PET127	PET127		20895.2	18537.5	23384	7638.8	8906.31	8090.81
orf19.2309.2	orf19.2309.2	RPL2	RPL2		226203	156933	208618	64835.5	76674	59469.1
orf19.231	orf19.231	APL2	APL2		60953.5	48308.3	55161	67684.4	95969.3	98431.3
orf19.2310.1	orf19.2310.1	RPL29	RPL29		114572		102981	34120.9	42585.1	34109.7
orf19.2311	orf19.2311	RPL82	RPL82		18475.4	40144.4	14032.2	2201.75	15328.9	168596
orf19.2313	orf19.2313	orf19.2313	orf19.2313		1314.72	1598.78	1337.07	2114.68	1970.79	2675.28
orf19.2314	orf19.2314	orf19.2314	orf19.2314		5305.24	15227.3	24170.5	14376.4	5666.69	4139.04
orf19.2315	orf19.2315	RTG3	RTG3		16012.3	14733.5	18056.2	23658.8	23020.3	24246.8
orf19.2318.1	orf19.2318.1	orf19.2318.1	orf19.2318.1		18253.7	20497.6	24579.8	24576.7	26268.1	22793.5
orf19.2319	orf19.2319	orf19.2319	orf19.2319		51232.6	72121.2	50776.3	33204.9	34044.5	51770
orf19.232	orf19.232	orf19.232	orf19.232		29331.7	29145.1	33180.3	34321.6	40064.8	46245.4
orf19.2320	orf19.2320	orf19.2320	orf19.2320		21778.8	17788.8	17683.2	14507.4	13766.4	18178.8
orf19.2322.3	orf19.2322.3	ERP5	ERP5		428251	530104	91223.7	196584	167618	548360
orf19.2324	orf19.2324	UBA4	UBA4		26041.4	25863.6	30437.4	19405.1	15032.1	20484.1
orf19.2325	orf19.2325	orf19.2325	orf19.2325		4721	3770.88	4407.44	3002.69	4057.35	4473.84
orf19.2326	orf19.2326	orf19.2326	orf19.2326		24485.1	28333.8	24874.6	18251	18049.2	19131.4
orf19.2328	orf19.2328	orf19.2328	orf19.2328		65120.2	57498.5	53070.9	50998.9	68321	73985.1
orf19.2329.1	orf19.2329.1	RPS17B	RPS17B		561059	500551	477874	210315	251879	163501
orf19.233.1	orf19.233.1	HRT1	HRT1		5487.33	13641.7	5281.09	7573.22	5414.6	8315.5
orf19.2330	orf19.2330	orf19.2330	orf19.2330		54540.3	49458.1	60585.5	29942	32572	34545.7
orf19.2331	orf19.2331	ADA2	ADA2		26732.1	25906.8	25262.8	37860	34816.3	34921.8
orf19.2333	orf19.2333	orf19.2333	orf19.2333		53315.1	58184.5	54727	112087	118706	176553
orf19.2334	orf19.2334	BIG1	BIG1		36470.2	36494.7	36376	52766.5	44842.5	55524.6
orf19.2335	orf19.2335	orf19.2335	orf19.2335		161283	178565	165751	243770	242075	274717
orf19.234	orf19.234	PHA2	PHA2		34685	53203.1	43361	23182.7	25720.9	38587.4
orf19.2340	orf19.2340	CDC48	CDC48		930370	872914	1.04725e+06	2.8283e+06	2.68049e+06	3.0131e+06
orf19.2341	orf19.2341	HNT1	HNT1		449557	453618	515425	849140	642851	630627
orf19.2342	orf19.2342	SFT2	SFT2		2002.02	1770.5	2291.29	3049.86	3926.18	6221.4
orf19.2343	orf19.2343	VPS23	VPS23		9002.88	8844.79	10227.4	16281.1	16473.2	18077.8
orf19.2344	orf19.2344	ASR1	ASR1		23811.5	15558.4	17463.4	171509	177186	112978
orf19.2346	orf19.2346	orf19.2346	orf19.2346		20212.3	21623.1	20828.2	84917	86295.3	124153
orf19.2347	orf19.2347	MNN2	MNN2		32807.2	25232.7	30668.4	11270.9	11513	10976.6
orf19.2351	orf19.2351	NIT3	NIT3		292870	292039	318402	488434	391599	402397
orf19.2352	orf19.2352	orf19.2352	orf19.2352		104255	117588	118910	95805.8	92848.4	91401.5
orf19.2356	orf19.2356	CRZ2	CRZ2		4811.03	9252.7	6080.8	7121.24	5124.89	6329.43
orf19.236	orf19.236	RPL9B	RPL9B		2.32211e+06	1.86998e+06	2.30801e+06	797427	1.0399e+06	983254
orf19.2360	orf19.2360	URA2	URA2		1.00427e+06	870573	898614	255175	343793	372415
orf19.2361	orf19.2361	SPT10	SPT10		7753.11	7529.62	6313.82	11683.7	12297.2	15629.4
orf19.2362	orf19.2362	orf19.2362	orf19.2362		27638.9	26924.1	23009.4	20659	22586	23862.5
orf19.2363	orf19.2363	orf19.2363	orf19.2363		131363	162215	155159	125651	104119	95630
orf19.2364	orf19.2364	MIS11	MIS11		651960	563164	643682	272098	322709	346193
orf19.2365	orf19.2365	POL2	POL2		12174.4	11620.9	11904.7	9067.29	13727.3	14630.4
orf19.2367	orf19.2367	orf19.2367	orf19.2367		21681.3	25158.1	23661.6	33731.2	34965.3	29967
orf19.2368	orf19.2368	orf19.2368	orf19.2368		4150.05	5452.05	4633.89	6819.92	8897.87	5897.31
orf19.2369	orf19.2369	orf19.2369	orf19.2369		7233.97	6725.22	6789.28	6031.01	10191.3	11445.5
orf19.2369.1	orf19.2369.1	ATX1	ATX1		21062.5	24441.7	28820	22218.5	16037.2	13567.9
orf19.2370	orf19.2370	DSL1	DSL1		30954	31610.1	34602.5	69204.4	69450.2	72119.1
orf19.2371	orf19.2371	orf19.2371	orf19.2371		6780.55	6680.09	9566.38	2368.17	3451.53	2164.56
orf19.2378	orf19.2378	orf19.2378	orf19.2378		15747	1944.23	1604.25	3191.94		
orf19.2379	orf19.2379	NOT4	NOT4		54038.3	43393.4	44760.4	108710	108860	107445
orf19.238	orf19.238	CCP1	CCP1		362748	335587	354627	497589	445507	412717
orf19.2381	orf19.2381	orf19.2381	orf19.2381		11277.9	8828.99	9318.65	10022.1	10881	10176.3
orf19.2382	orf19.2382	orf19.2382	orf19.2382		23910.4	20625.7	23168.8	9916.59	13665.2	14198.2
orf19.2383	orf19.2383	YKU80	YKU80		9243.24	7588.25	8355.75	8773.89	13323.5	10734.3
orf19.2384	orf19.2384	MTG1	MTG1		21124.7	18389.6	18400.2	10318.7	9833.76	9995.19
orf19.2385	orf19.2385	KTI12	KTI12		39723.4	38829.5	39852.8	22797.6	22165.3	21248.5
orf19.2386	orf19.2386	orf19.2386	orf19.2386		11975.3	13794.4	15270.4	10450	9329.08	12680.5
orf19.2387	orf19.2387	orf19.2387	orf19.2387		29962.7	34218.4	32882.3	22597	19893.9	19609.2
orf19.2389	orf19.2389	orf19.2389	orf19.2389		6601.86	3930.04	8995	14006	13794.1	14029.1
orf19.239	orf19.239	orf19.239	orf19.239		79998.8	65689.3	68322.9	55007.9	70817.5	78106.4
orf19.2391	orf19.2391	orf19.2391	orf19.2391		6246.56	6635.32	7489.72	14088.7	10156.1	13648.6
orf19.2393	orf19.2393	orf19.2393	orf19.2393		7710.82	8172.17	5641.04	8630.15	12320.6	12679
orf19.2396	orf19.2396	IFR2	IFR2		194237	191101	182450	297404	352380	320768
orf19.2397.3	orf19.2397.3	orf19.2397.3	orf19.2397.3		21521.9	22945.3	20707.9	96155.6	90521.7	122654
orf19.2398	orf19.2398	orf19.2398	orf19.2398		6344.74	7859.58	7024.96	12221	13973.1	12209.6
orf19.2399	orf19.2399	orf19.2399	orf19.2399		17709.5	20774.2	22838.4	25474.3	27020.1	26031.9
orf19.240	orf19.240	PAM17	PAM17		123316	25221.6	34900.8	19714.6	19766.9	65269.5
orf19.2400	orf19.2400	orf19.2400	orf19.2400		13782.7	14327.3	15483.4	22372.8	19757.7	22178.4
orf19.2401	orf19.2401	orf19.2401	orf19.2401		10874.5	11528.6	13590.7	31397.1	27569.5	30673.2
orf19.2402	orf19.2402	SSU72	SSU72		9397.99	8915.8	10895.5	19945.5	15027.4	14427.3
orf19.2404	orf19.2404	orf19.2404	orf19.2404		5572.99	7418.72	6969.27	2086.58	4178.12	5314.72
orf19.2406	orf19.2406	orf19.2406	orf19.2406		51913.1	45919.2	50871.6	60314.1	55978.8	59404.9
orf19.2407	orf19.2407	DPS1-1	DPS1-1		577912	508328	556407	345954	429857	417443
orf19.2408	orf19.2408	orf19.2408	orf19.2408		44724.6	45084	41603.9	30663.4	28283.7	46320.2
orf19.2410	orf19.2410	SYS3	SYS3		56562.9	65072.3	64914.8	85232.8	68712	77178.8
orf19.2411	orf19.2411	SYN8	SYN8		13242.4	13548.3	15115.8	33189.9	29241.4	34324.4
orf19.2414	orf19.2414	orf19.2414	orf19.2414		148660	151258	141538	410813	341868	374823
orf19.2415	orf19.2415	orf19.2415	orf19.2415		15126.3	15561.3	17827	23166.6	18866.8	18971.6
orf19.2416.1	orf19.2416.1	MLC1	MLC1		954742	1.08541e+06	1.14396e+06	1.35803e+06	1.47411e+06	1.23053e+06
orf19.2417	orf19.2417	SMC5	SMC5		10366.3	9528.97	9500.03	7787.62	10148.6	15205.5
orf19.2419	orf19.2419	orf19.2419	orf19.2419		28355.1	26558.9	27663.5	35030.1	35985	35466.6
orf19.242.2	orf19.242.2	orf19.242.2	orf19.242.2		2733.5	17247	10981.8	10159.3	9643.64	7870.43
orf19.2422	orf19.2422	ARC1	ARC1		588185	521996	514366	485855	436803	484111
orf19.2423	orf19.2423	ZCF11	ZCF11		3503.79	2115.22	3475.94			
orf19.2426	orf19.2426	orf19.2426	orf19.2426		135323	134745	108211	127925	98874.2	97952.5
orf19.243	orf19.243	OXR1	OXR1		26257.5	35282	28303.2	34973.1	26661.2	64830.4
orf19.2432	orf19.2432	HAC1	HAC1		8739.92	10094.7	11204	138174	135714	129456
orf19.2433	orf19.2433	orf19.2433	orf19.2433		8751.59	5418.26	7780.69	9376.03	10164.5	12757
orf19.2434	orf19.2434	NPL4	NPL4		58757.4	59047.8	61089.3	184235	188309	230434
orf19.2435	orf19.2435	MSI3	MSI3		1.56273e+06	1.42031e+06	1.41066e+06	2.01046e+06	1.99866e+06	2.2898e+06
orf19.2436	orf19.2436	orf19.2436	orf19.2436		14632.3	15857.4	18668.1	9963.51	9788.48	11555.6
orf19.2437	orf19.2437	ARC35	ARC35		107276	99659.8	126833	122405	169258	170105
orf19.2438	orf19.2438	orf19.2438	orf19.2438		80633.9	58073.1	98564.3	20928.7	28924.1	27013.1
orf19.2439	orf19.2439	orf19.2439	orf19.2439		415595	340663	594332	274217	248985	253277
orf19.2439.1	orf19.2439.1	orf19.2439.1	orf19.2439.1		611.957			924.551		562.802
orf19.244	orf19.244	DCG1	DCG1		29707	29253.8	27443.9	38456.2	39913.7	28908.5
orf19.2440	orf19.2440	orf19.2440	orf19.2440		8332.86	6930.92	8652.46	7785.02	11594.5	19808.9
orf19.2442	orf19.2442	orf19.2442	orf19.2442		12442	10581.8	12177.1	20034.1	17817.5	17050.6
orf19.2443	orf19.2443	RGD1	RGD1		65508.6	53363.4	58880.8	65062.4	61461.2	74112.1
orf19.2446	orf19.2446	orf19.2446	orf19.2446		8489.99	9397.8	10505.5	12529.3	14563.4	19268.7
orf19.2447	orf19.2447	orf19.2447	orf19.2447		7021.07	6673.06	6696.08	11856	19066.8	26232.4
orf19.245	orf19.245	DDC1	DDC1		5114.48	3009.1				7024.46
orf19.2451	orf19.2451	PGA45	PGA45		121061	222722	189904	64912.2	57340.2	68560.3
orf19.2452	orf19.2452	orf19.2452	orf19.2452		34525	38283.6	48624.3	13683.4	10653.4	6042.66
orf19.2454	orf19.2454	PHO87	PHO87		16131.4	13893.6	15374.8	5019.92	3530.07	4228.01
orf19.2455	orf19.2455	orf19.2455	orf19.2455		20505.6	15146.1	17791.2	12639.7	16998.6	19236.7
orf19.2458	orf19.2458	SIP5	SIP5		33107.6	26041.5	30839.4	50052.8	44072.2	63846.1
orf19.2459	orf19.2459	orf19.2459	orf19.2459		13334.1	11886.4	14034.2	9084.18	8025.96	8653.18
orf19.246	orf19.246	orf19.246	orf19.246		3451.04	2923.55	3402.94	4137.07	5781.64	5640.44
orf19.2461	orf19.2461	PRN4	PRN4		186296	196309	207952	607738	556018	490810
orf19.2462	orf19.2462	PRN3	PRN3		10314.1	12719.6	13354.8	8468.53	8443.61	7523.4
orf19.2463	orf19.2463	PRN2	PRN2		3203.86	3092.89	3510.92	6855.43	5654.62	4681.51
orf19.2465	orf19.2465	POL32	POL32		23957.5	24852.3	18403.5	27340	30767.9	36911.5
orf19.2467	orf19.2467	PRN1	PRN1		18698.7	19681.3	18945.3	22529.6	18949.7	16127.4
orf19.2469	orf19.2469	RAD10	RAD10		16458.1	16562	20109.1	41451.2	39935.9	39752.9
orf19.247	orf19.247	orf19.247	orf19.247		4498.73	5132.48	1674.98	4984.87	9840.3	9015.66
orf19.2471	orf19.2471	GIM5	GIM5		195302	266768	344135	356939	309628	258761
orf19.2472	orf19.2472	orf19.2472	orf19.2472		13769.7	15573.1	15419.3	25517.7	19278.9	18515.3
orf19.2472.1	orf19.2472.1	orf19.2472.1	orf19.2472.1		3977.15	4261.16	7858.51	2535.37	2525.16	2400.03
orf19.2473	orf19.2473	orf19.2473	orf19.2473		72151.3	72523.6	82699.1	76898.3	71158	75706.8
orf19.2474	orf19.2474	PRC3	PRC3		62403.7	66749.3	61853.8	153470	108514	132540
orf19.2476	orf19.2476	orf19.2476	orf19.2476		7081.14	5521.48	6417.73	12728.3	15358.4	18948
orf19.2478.1	orf19.2478.1	orf19.2478.1	orf19.2478.1		1.26083e+06	988509	1.08153e+06	350753	633729	539967
orf19.248	orf19.248	APL5	APL5		20538.2	19167.2	21414	25371.1	38273.7	40644.9
orf19.2480.1	orf19.2480.1	AUT7	AUT7		6790.56	13982.2	13795.2	28472.3	35669.1	27360.7
orf19.2483	orf19.2483	RIM1	RIM1		556094	538741	720161	460810	458020	490226
orf19.2484	orf19.2484	orf19.2484	orf19.2484		43075	61025.6	61986	90269.4	87519.3	81343.7
orf19.2485	orf19.2485	orf19.2485	orf19.2485		58335	42196.8	50475.9	27468	43733.7	47850.2
orf19.2487	orf19.2487	orf19.2487	orf19.2487		88063.3	100922	107846	168899	167522	169338
orf19.2488	orf19.2488	FAL1	FAL1		15670.3	13760.6	14378.5	14528.3	18890.7	19316.7
orf19.2489	orf19.2489	orf19.2489	orf19.2489		293651	263236	278135	150056	180747	187942
orf19.2494	orf19.2494	orf19.2494	orf19.2494		18702.2	17206.4	19113	10753.8	11516.3	18848.1
orf19.2496	orf19.2496	ATO2	ATO2		4996.38	564.716	2168.37	858.519	4448.85	6807.81
orf19.2498	orf19.2498	orf19.2498	orf19.2498		37500.6	41011.9	34715.8	83117.1	70804.7	74602.9
orf19.2499	orf19.2499	orf19.2499	orf19.2499		38198.7	36531.3	23243.8	30470.9	19234.9	33759.3
orf19.25	orf19.25	orf19.25	orf19.25		61685.6	58157.4	52005.2	26833.3	25578.6	55140
orf19.250	orf19.250	SLC1	SLC1		219082	195945	197959	94755.7	132641	137102
orf19.2500	orf19.2500	orf19.2500	orf19.2500		21634.3	21771.6	24525.4	20793.6	20578.4	22643.4
orf19.2501	orf19.2501	FLC1	FLC1		7174.45	5143.43	6275.69		2033.78	3382.47
orf19.2504	orf19.2504	BMS1	BMS1		22596.4	19470.8	23617.5	11501.1	16638.8	18000.7
orf19.2506	orf19.2506	orf19.2506	orf19.2506		1627.45	1896.03	2711.16	3835.83	4056.63	3531.93
orf19.2507	orf19.2507	ARP9	ARP9		91628.2	71949	86736.2	74230.3	81301.2	83732.2
orf19.2508	orf19.2508;orf19.2509	PRM9	PRM9					5024.61	3776.13	5246.57
orf19.251	orf19.251	GLX3	GLX3		1.35979e+06	1.39115e+06	1.56066e+06	2.69469e+06	2.46092e+06	2.0468e+06
orf19.2510	orf19.2510	orf19.2510	orf19.2510		2281.67	1925.09	1290.37			3457.2
orf19.2511.1	orf19.2511.1	MRPL33	MRPL33		29170.3	37011.8	10915.3	9925.69	13959.6	17168.1
orf19.2512	orf19.2512	orf19.2512	orf19.2512		6084.51	9686.34	7486.25	45169.8	40426.3	45380.9
orf19.2513	orf19.2513	orf19.2513	orf19.2513		3184.79	2785.53	2450.67	1136.95	1602.84	2828.73
orf19.2514	orf19.2514	orf19.2514	orf19.2514		30296	29175.3	23122.3	14235.8	12074.7	13610
orf19.2515	orf19.2515	orf19.2515	orf19.2515		36656	32748.7	32946.4	98107.3	99334.6	142756
orf19.2516	orf19.2516	orf19.2516	orf19.2516		64066.4	64918.5	81568.1	81115.7	64172.3	65054.1
orf19.2518	orf19.2518	orf19.2518	orf19.2518		409547	411448	392315	505282	464565	546254
orf19.2519	orf19.2519	orf19.2519	orf19.2519		24454.1	27015.8	26718.5	42981.2	44605.5	35831.5
orf19.252	orf19.252	orf19.252	orf19.252		18391.8	25381.1	19933.1	8842.98	12235.9	8943.47
orf19.2520	orf19.2520	orf19.2520	orf19.2520		56811.7	45667.9	45898.6	13587.5	27026.8	20486
orf19.2521	orf19.2521	orf19.2521	orf19.2521		11599	10311.1	11188.9	7657.77	12137.7	11345.2
orf19.2524	orf19.2524	MGE1	MGE1		344055	416871	424430	352142	277717	252464
orf19.2525	orf19.2525	LYS12	LYS12		1.68872e+06	1.8003e+06	1.21304e+06	772118	600844	836881
orf19.2527	orf19.2527	orf19.2527	orf19.2527		40735.6	39107	43910	18629.1	14951	17972.1
orf19.2528	orf19.2528	orf19.2528	orf19.2528		28324	30795	28557.9	36500.4	31072.4	60010.5
orf19.2529.1	orf19.2529.1	orf19.2529.1	orf19.2529.1		1229	4304.01	1373.75	1262.59	9307.19	
orf19.2531	orf19.2531	CSP37	CSP37		747241	712338	638075	687476	736703	621646
orf19.2532	orf19.2532	PRS	PRS		22463.5	22064.4	27808.5	23444.7	25593.7	23405
orf19.2533.1	orf19.2533.1	orf19.2533.1	orf19.2533.1		162726	243241	224830	128268	66963.4	72761
orf19.2534	orf19.2534	PIN4	PIN4		28288.2	32602.6	30949.3	64850.4	41996.3	54766.2
orf19.2538	orf19.2538	PTC2	PTC2		56794.1	58512.4	53676.4	53500.7	44561.3	58649.9
orf19.254	orf19.254	orf19.254	orf19.254		879.051	1892.93	943.033	4717.08	4116.63	8472.97
orf19.2540	orf19.2540	SAS3	SAS3			2198.89	5615.78			
orf19.2541	orf19.2541	orf19.2541	orf19.2541		55911.4	45159	58562.6	59452.6	54232.2	79065.9
orf19.2542	orf19.2542	orf19.2542	orf19.2542		34344.1	35995.2	46436.3	86768.4	79240.9	83158.2
orf19.2544	orf19.2544	orf19.2544	orf19.2544		28922.1	29539.2	34801.3	19717.7	23094	16716.7
orf19.2545	orf19.2545	DOT6	DOT6		19816.1	20188.9	18653.7	13755.8	11477.7	10167.7
orf19.2546	orf19.2546	TRP2	TRP2		182901	150921	131578	85032.5	80430.5	109421
orf19.2549	orf19.2549	SHP1	SHP1		383026	424742	422826	1.08792e+06	1.00999e+06	920451
orf19.255	orf19.255	ZCF1	ZCF1		9167.46	7572.55	8433.48	23134.9	23288	27621.2
orf19.2551	orf19.2551	MET6	MET6		2.12643e+06	2.25615e+06	2.1288e+06	2.17846e+06	1.86205e+06	1.98294e+06
orf19.2555	orf19.2555	URA5	URA5		593996	659053	734059	584710	480128	464714
orf19.2557	orf19.2557	SEC65	SEC65		153990	162370	166563	170379	139863	138583
orf19.2558	orf19.2558	orf19.2558	orf19.2558		4692.81	3192.51	4425.35	3990.91	3001.73	4043.84
orf19.2559	orf19.2559	CDC4	CDC4		25867.8	19763.7	25000.6	90476.4	98851.3	114883
orf19.2560	orf19.2560	CDC60	CDC60		565004	445464	498935	230369	242386	266586
orf19.2563	orf19.2563	orf19.2563	orf19.2563		7553.75	5686.67	6896.73	5792.07	8103.23	10042.4
orf19.2564	orf19.2564	orf19.2564	orf19.2564		6348.42	4580.22	3270.19			1462.47
orf19.2565	orf19.2565	orf19.2565	orf19.2565		1914.69	1643.09	1879.27	2146.49	1900.99	2313.98
orf19.2568	orf19.2568	IFU5	IFU5		46258.2	26483.8	26960.6	87920.9	92898.7	136813
orf19.2570	orf19.2570	MCI4	MCI4		373198	391056	327178	142970	114794	93722.4
orf19.2571	orf19.2571	SEC4	SEC4		408829	445375	330448	328656	490098	462446
orf19.2573	orf19.2573	FRS1	FRS1		619603	518441	425855	293860	258927	343670
orf19.2574	orf19.2574	orf19.2574	orf19.2574		5285.25	4075.27	4639.11	6711.37	6557.94	7044.2
orf19.2575	orf19.2575	orf19.2575	orf19.2575		18333.8	20571.6	14569.6	5992.27	8603.17	7692.52
orf19.2580	orf19.2580	HST2	HST2		9893.14	10328.7	13661.6	20582.4	14640	16490.4
orf19.2582	orf19.2582	orf19.2582	orf19.2582		43585.7	33039	41091.4	21087.6	26825.8	27648.7
orf19.259	orf19.259	orf19.259	orf19.259		11213.4	16412.5	16730.4	15266.1	16703.6	17789
orf19.2590	orf19.2590	orf19.2590	orf19.2590		18637.6	16667.8	17498.4	4591.26	4102.6	4269.1
orf19.2593	orf19.2593	BIO2	BIO2		98126.1	52940.7	64028.8	12699.2	7167.61	7087.54
orf19.2594	orf19.2594	orf19.2594	orf19.2594		32815.7	27391.4	40200.2	14578.5	14272.3	25191.5
orf19.2597	orf19.2597	MRS2	MRS2		1075.3	689.302	1680.65			
orf19.2598	orf19.2598	VMA4	VMA4		638136	603092	622086	698743	644484	592614
orf19.2599	orf19.2599	CRC1	CRC1		144311	126646	122297	87500.6	115772	130392
orf19.26	orf19.26	orf19.26	orf19.26		16890.4	15678.3	12121.4	18982.6	19906.8	32784.4
orf19.260	orf19.260	SLD1	SLD1		10608.2	8119	9784.86	6353.11	8715.12	9663.28
orf19.2600	orf19.2600	SPC98	SPC98		2972.52	3665.57	3847.78	3320.29	4859.31	3655.56
orf19.2601	orf19.2601	HEM1	HEM1		74201.3	65774.7	77629	34114.2	27208.7	25611.6
orf19.2604	orf19.2604	orf19.2604	orf19.2604		8395.04	9476.47	8030.57	4981.82	6786.77	6639.7
orf19.2605	orf19.2605	PRK1	PRK1		15696.5	15446	15795.5	13428.7	22543.2	21150.7
orf19.2606	orf19.2606	HDA1	HDA1		17683	15766.3	17908.9	19864.6	23961.1	22377.1
orf19.2607	orf19.2607	orf19.2607	orf19.2607		24680.9	30896.4	37419	21420.9	9387.33	23544.8
orf19.2608	orf19.2608	ADH5	ADH5		27057.3	23736.2	24524.6	46776.9	46212.1	58226.2
orf19.2609	orf19.2609	CET1	CET1		26821.8	23723.6	30000.4	33528.4	25867.3	24108.5
orf19.261	orf19.261	orf19.261	orf19.261		20969.4	18015.1	20764.8	16457.5	23488.1	38757.7
orf19.2611	orf19.2611	MCM6	MCM6		28187.6	26121.5	27741.1	19762.2	24653.6	27102.8
orf19.2612	orf19.2612	orf19.2612	orf19.2612		6540.8	7651.56	7845.8	9640.93	7557.11	6891.87
orf19.2613	orf19.2613	ECM4	ECM4		272887	293702	314518	279525	250529	201744
orf19.2614	orf19.2614	RSR1	RSR1		111489	81174.3	91466.8	59566.8	43058.3	52412
orf19.2615	orf19.2615	MDL1	MDL1		23529.3	17895.1	21944.8	11245.3	15234.1	17160.2
orf19.2616	orf19.2616	UGT51C1	UGT51C1		1463.48	2326.09	1838.45	3184.55	5333.87	6940.81
orf19.2618	orf19.2618	MET2	MET2		76029.4	76501.6	82127.4	49468.6	61610.8	61551.3
orf19.2619	orf19.3727;orf19.2619	PHO113	PHO113		12963.2	15384.6	13730.8	13138.7	10736.2	9743.07
orf19.262	orf19.262	SMC3	SMC3		23232.5	21361.7	22927.1	18245.6	23454.9	26567.5
orf19.2621	orf19.2621	orf19.2621	orf19.2621		20900.9	25641.3	32483.8	20895.4	21129.7	22189
orf19.2622	orf19.2622	YPT31	YPT31		183015	182984	174924	151366	143093	162345
orf19.2623	orf19.2623	ECM22	ECM22		2622.68	1984.37	1761.71	1013.83	2403.07	2666.76
orf19.2629	orf19.2629	USO1	USO1		21664.6	19395	20787	15504.5	19632.3	27281.4
orf19.2630	orf19.2630	RAD59	RAD59		1914.11	1946.08	1718.09	6065.18	4000.02	5232.69
orf19.2631	orf19.2631	orf19.2631	orf19.2631		14626.9	9568.38	9875.98	7555.67	8731.88	11456.7
orf19.2633	orf19.2633	HGT14	HGT14		2839.92	2495.31	3564.75			
orf19.2638.1	orf19.2638.1	orf19.2638.1	orf19.2638.1		8780.66	6102.05	11667.4	5137.03	1656.51	2562.67
orf19.2639	orf19.2639	orf19.2639	orf19.2639		208257	201386	220178	84891.8	71775.1	62186.4
orf19.2639.1	orf19.2639.1	orf19.2639.1	orf19.2639.1		118204	132573	85093.3	298435	138122	252971
