Protein.Group	Protein.Ids	Protein.Names	Genes	First.Protein.Description	H:\24-104\24-104_DIA_7.d	H:\24-104\24-104_DIA_8.d	H:\24-104\24-104_DIA_9.d	H:\24-104\24-104_DIA_10.d	H:\24-104\24-104_DIA_11.d	H:\24-104\24-104_DIA_12.d
orf19.1351	orf19.1351	orf19.1351	orf19.1351		1514.06	1632.35	1905.18	839.831		1359.6
orf19.1354	orf19.1354	UCF1	UCF1		15402.6	8105.25	5723.3	6068.58	3807.38	94717.4
orf19.1355	orf19.1355	orf19.1355	orf19.1355		212923	177359	181381	163174	181365	205465
orf19.1356	orf19.1356	orf19.1356	orf19.1356		8942.01	12065.4	11861.1	14139.9	15967.3	20012.8
orf19.1358	orf19.1358	GCN4	GCN4			1335.14	1659.14	3552.52	2791	3472.42
orf19.1359	orf19.1359	orf19.1359	orf19.1359		131181	117130	118136	453269	403031	512718
orf19.1360	orf19.1360	orf19.1360	orf19.1360		9297.85	9687.51	10985.8			1812.76
orf19.1360.1	orf19.1360.1	orf19.1360.1	orf19.1360.1		27618.4	12890.2	23363.8	39736.5	45132.3	38390.9
orf19.1361	orf19.1361	TIM23	TIM23		183612	181559	195673	114639	93473.8	86830.7
orf19.1362	orf19.1362	SMM1	SMM1		19677.4	23042.4	24931.1	17364.5	14779	10957.2
orf19.1363	orf19.1363	orf19.1363	orf19.1363		739.195	743.507	1009.56	5319.28	3155.77	4560.06
orf19.1367	orf19.1367	MTW1	MTW1		16466.2	16106.1	19657.5	23856.5	16990.9	22791.4
orf19.1368	orf19.1368	orf19.1368	orf19.1368		2567.27		3378.36	3661.91	2924.16	1954.09
orf19.1369	orf19.1369	orf19.1369	orf19.1369					4686.19	4568.62	3547.86
orf19.137	orf19.137	orf19.137	orf19.137		4461.6	5000.85	3444.8	8066.08	10550.4	18319.5
orf19.1371	orf19.1371	orf19.1371	orf19.1371		2489.14	2339.83	4325.62			
orf19.1372	orf19.1372	orf19.1372	orf19.1372		44564.1	44395.1	4159.99	27415.5	20103.3	36697
orf19.1373	orf19.1373	INP51	INP51		4661.82	3403.2	3724.12	4025.22	5366.46	6477.46
orf19.1374	orf19.1374	orf19.1374	orf19.1374		14158.1	12611.8	13922.4	15345.9	12437.6	14318.5
orf19.1375	orf19.1375	LEU42	LEU42		74252.3	63204.7	71718	82834.1	96716.4	91941.8
orf19.1376	orf19.1376	orf19.1376	orf19.1376		367969	372668	323926	339275	294407	394494
orf19.1377	orf19.1377	IPK2	IPK2		12750.4	13434.4	13286.2	20050.4	22238	15854.5
orf19.1378	orf19.1378	SUP35	SUP35		242724	205383	224156	151986	184401	153299
orf19.1381	orf19.1381	orf19.1381	orf19.1381		14718.8	13856.4	18361.9	28178.7	26027.3	22317.6
orf19.1383	orf19.1383	orf19.1383	orf19.1383		2620.88	3091.44	2797.44	5136.55	3747.34	4103.67
orf19.1386	orf19.1386	orf19.1386	orf19.1386		2548.08	2533.28	1993.98	2794.35	7154.71	5903.93
